гымнин ытльат ы’ттъуви ынкъам о’мрытваал	г ы м н и н _ ы т л ь а т _ ы ’ т т ъ у в и _ ынкъам _ о ’ м р ы т в а а л _
пууръу эпы гымнин о’м о’мрыквот нэмыӄэй ӄорагынрэтыльо нитӄин	п у уръу _ э п ы _ г ы м нин _ о ’ м _ о ’ м р ы к в о т _ н э м ы ӄ эй _ ӄ о р а г ы н р э т ы л ь о _ н и т ӄ и н _
гымнин ытлыгыт ытль’атэ ӄонпы эмнуӈкы нымигчирэтӄинэт нэмыӄэй ӄорагынрэтыльо нитӄинэт	г ы м н и н _ ы т л ы г ы т _ ы т л ь ’ а т э _ ӄ о н пы _ э м н уӈкы _ н ы м и г ч и р э т ӄ и н э т  _ н э м ы ӄ эй _ ӄ о р а г ы н р э т ы л ь о _ н и т ӄ и н э т _
ынкъам мури гачакэттомга гэ гэегтэльмури каврагыргын ынкъам гым	ынкъам _ м у ри _ г а ч а к э т т о м г а  _ г э _ г э е г т э л ь м у р и _ к а в р а г ы р г ы н _ ынкъам _ г ы м _
ытръэче ӈирэӄ нэнэнэт вагъэт	ы т р ъ э ч е _ ӈ и р эӄ _ н энэнэт _ в а г ъ э т _
ытръэч	ы т р ъэч _
кытур ынӈытэӄэ мэдвэдэв прэзидэнто энма канчалянэты гэрэмкичильин	к ы т у р _ ы н ӈ ы т э ӄ э _ м э д в э д э в _ п р э з и д э н т о _ э н м а _ к а н ч а л я н э т ы _ г э р э м к и ч и л ь и н _
ынкъа люут ӈыръа вэрталёттэ вакъогъатӈа	ы н к ъ а _ л ю у т _ ӈ ы р ъ а _ в э р т а л ё т т э _ в а к ъ о г ъ а т ӈ а _
ныныпчеӈивйивӄин колё нымныма мэдвэдэвъым	н ы н ы п ч е ӈ и в й и в ӄ и н _ к о л ё _ н ы м н ы м а _ м э д в э д э в ъ ы м _
гэчевкы нынтыӄин таӈколё ынкы ныгынритӄин	г э ч е вкы _ н ы н т ы ӄин _ т а ӈ к о л ё  _ ы н к ы _ н ы г ы н р и т ӄ ин _
люутэ абрамович ӈыронвэрталёта вакъогъэ нэмыӄэй	л ю у т э _ а б р а м о в и ч _ ӈ ы р о н в э р т а л ё т а _ в а к ъ о гъэ _ н э м ы ӄ эй _
мэдвэдэв ивкэ лыгэн ынкы напэлягъан йъэлыги абрамович наягнагъан	м э д в э д э в _ и в к э _ л ы г эн _ ы н к ы _ н а п э л ягъан _ й ъ э л ы г и  _ а б р а м о в и ч _ н а я г н агъан _
инъэ гым нылӄутигым	и н ъэ _ г ы м _ н ы л ӄ у т и г ы м _
янот нычайойгым	я н о т _ н ы ч а й о й г ы м _
нилгытэвигым ынкъам нывийгым нытапэтӈивым	н и л г ы т э в и г ы м _ ынкъам _ н ы в и й г ы м _ н ы т а п э т ӈ и в ы м _
ванэ мычавтракгъак	в а н э _ м ы ч а в т р а к г ъ а к _
апэтыплыткокэ	а п э т ы п л ы т к о к э _
игытъым ванэ гым м мымигчирэтгъэк	и г ы т ъ ы м  _ в а н э _ г ы м _ м _ м ы м и г ч и р э т г ъ э к _
ныпэнчияйгым	н ы п э н ч и я й г ы м _
апэтыплыткокэ нотагты нылӄытивым элек	а п э т ы п л ы т к о к э _ н о т а г т ы  _ н ы л ӄ ы т и в ы м _ э л е к _
нуунъыгичийгым чама ныпъоӈгэлейгым	н у у н ъ ы г и ч и й г ы м _ ч а м а _ н ы п ъ о ӈ г э л е й г ы м _
нырагтэгым	н ы р а г т э г ы м _
уунъытэ	у у н ъ ы т э _
ӈу нинэ нуй ӈуйӈуй нэ нэ нэнъупиратэвым	ӈ у _ н и н э _ н у й _ ӈ у й ӈ у й _ н э _ н э _ н э н ъ у п и р а т э в ы м _
