ӄԓявыԓя риӄукэтэ ивнин ытри ынкы варкыт гынин ӈэвъэн гэԓгыԓин мэмыԓя рагтыгъэ	р и ӄ у к э т э _ # _ ы т р и _ # _ # _ г ы н и н _ ӈ э в ъ э н _ г э ԓ г ы ԓ и н _ # _ # _
ӄԓявыԓ ынкъам купрэн ынанъомрычьын	ы н к ъ а м _ # _ # _
рытэнмавнэн ынӄо эргатык эквэтгъэт копрантыватысӄэквъат	ы н ӄ о _ э р г а т ы к _ э к в э т г ъ э т _ # _
риӄукэтэ гамгаваны нэнайӈоткоӄэн ӄоԓ	г а м г а в а н ы _ # _ ӄ о ԓ _
ԓьунин ынӄо йыӈотконэн	ы н ӄ о _ # _
эвын коԓё	к о ԓ ё _
тыкгаткэта ивнин риӄукэтэ	и в н и н _ р и ӄ у к э т э _
йыӈотконэн эвын коԓё	э в ы н _ к о ԓ ё _
тыкгаткэта	
ивнин риӄукэтэ ынкы	р и ӄ у к э т э _ ы н к ы _
рытваннэнат риӄукэтэ ивнин	р и ӄ у к э т э _ и в н и н _
мачынан ынкы нытваркын ынӄо	ы н к ы _ н ы т в а р к ы н _ # _
эргатык купрэт ёпаннэнат эвын гакваԓен	к у п р э т _ # _ # _ # _
ӈавмэмыԓчыӈын ынӄо рырагтаннэн ынкъам	ы н ӄ о _ р ы р а г т а н н э н _ ы н к ъ а м _
тэнуйгын йыннин	й ы н н и н _
ыттъын ратвынэн рывэнӈынин	р а т в ы н э н _ # _
авынаёԓьэты ԓинԓиӈ йытонэн мэмыԓыткынык рытриԓнин ынӄо ӄԓявыԓ	ԓ и н ԓ и ӈ _ й ы т о н э н _ м э м ы ԓ ы т к ы н ы к _ # _ ы н ӄ о _ ӄ ԓ я в ы ԓ _
ӈытогъэ этъоӄайӄын рэсӄиквъи ԓюур	э т ъ о ӄ а й ӄ ы н _ # _ ԓ ю у р _
рымъэйӈэнин ӄԓявыԓя	ӄ ԓ я в ы ԓ я _
ивнин ивнин ӈэвъэнйыръэ с амыным	и в н и н _ # _ # _ # _
аны ԓыгитэнчимгъуԓьын ӈэвысӄэтӄэй чама	ԓ ы г и т э н ч и м г ъ у ԓ ь ы н _ # _ ч а м а _
ныԓгэнываӈэӄэн ытԓыгэ ытԓьата	ы т ԓ ы г э _ ы т ԓ ь а т а _
ынкъам	
ытԓенъюрык гыԓёо ныԓгыӄин ытԓён энмэн	г ы ԓ ё о _ н ы ԓ г ы ӄ и н _ ы т ԓ ё н _ э н м э н _
ӄуԓинымнымык	
ӄоԓ гатъыԓыӈоԓен ӈэвысӄэтӄэй амыным	г а т ъ ы ԓ ы ӈ о ԓ е н _ # _ а м ы н ы м _
аны ԓыгитэнчимгъуԓьын ӈэвысӄэтӄэй чама ныԓгэнываӈэӄэн ытԓыгэ ытԓьата ынкъам ытԓенъюрык гыԓёо ныԓгыӄин ытԓён ынкыым мэтчымчек нытваӄэн нымнымӄэйык ӄоԓ эӈэӈыԓьын	ԓ ы г и т э н ч и м г ъ у ԓ ь ы н _ # _ ч а м а _ # _ # _ ы т ԓ ь а т а _ # _ ы т ԓ е н ъ ю р ы к _ # _ н ы ԓ г ы ӄ и н _ ы т ԓ ё н _ ы н к ы ы м _ # _ # _ н ы м н ы м ӄ э й ы к _ # _ э ӈ э ӈ ы ԓ ь ы н _
ӄынвэр ытԓыгын иквъи	ы т ԓ ы г ы н _ и к в ъ и _
наӄам ӈутку варкын мэтчымче	ӈ у т к у _ # _ м э т ч ы м ч е _
нымнымӄэйык ԓыӈыр амытва рытъё эӈэӈыԓьын ӈэвъэнэ ивнин юрэӄым нъынмэԓевэннин наӄам	ԓ ы ӈ ы р _ а м ы т в а _ р ы т ъ ё _ э ӈ э ӈ ы ԓ ь ы н _ # _ # _ ю р э ӄ ы м _ # _ # _
